Registration Mark,Aircraft Producer,Aircraft Model,Category,Registration Date,MTOW (KGs),Year of Manufacture,Aircraft Serial Number,Engine Manufacturer,Engine Model,No. of Engines,Registered Owner,Address
EI-IJS,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,28/05/2024,69000,2024,67104,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IJT,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,11/06/2024,69000,2024,67097,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IJV,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,26/07/2024,69000,2024,62376,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IJW,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,28/06/2024,69000,2024,67099,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IJX,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,26/07/2024,69000,2024,67112,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IJY,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,18/07/2024,69000,2024,67108,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IJZ,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,31/07/2024,69000,2024,62381,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKA,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,26/07/2024,69000,2024,67114,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKB,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,03/11/2010,73500,2000,1226,CFM,CFM56-5B4/3CFM56-5B4/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IKC,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,27/08/2024,69000,2024,62378,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKD,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,19/08/2024,69000,2024,67109,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKE,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,09/09/2024,69000,2024,67115,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKF,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,26/07/2011,73500,2001,1473,CFM,CFM56-5B4/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IKG,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,27/07/2011,73500,2001,1480,CFM,CFM56-5B4/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IKH,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,23/08/2024,69000,2024,62384,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKI,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,09/09/2024,69000,2024,62379,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKJ,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,29/08/2024,69000,2024,67120,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKK,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,29/08/2024,69000,2024,62382,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKL,AIRBUS INDUSTRIE,A320-214,LAND AEROPLANE,16/11/2010,73500,2001,1489,CFM,CFM56-5B4/3CFM56-5B4/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IKM,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,10/09/2024,69000,2024,62380,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKN,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,31/10/2024,69000,2024,62383,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IKO,THE BOEING COMPANY,BOEING 737-8200,LAND AEROPLANE,16/10/2024,69000,2024,67116,CFM,LEAP-1B27,2,RYANAIR DESIGNATED ACTIVITY COMPANY,"RYANAIR DUBLIN OFFICE, AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN,"
EI-IMB,AIRBUS INDUSTRIE,A319-112,LAND AEROPLANE,22/11/2010,64000,2003,2033,CFM,CFM56-5B6/3CFM56-5B6/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMF,AIRBUS INDUSTRIE,A319-112,LAND AEROPLANE,08/11/2010,64000,2003,2083,CFM,CFM56-5B6/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMH,AIRBUS INDUSTRIE,A319-112,LAND AEROPLANE,30/11/2010,64000,2004,2101,CFM,CFM56-5B6/3CFM56-5B6/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IML,AIRBUS INDUSTRIE,A319-112,LAND AEROPLANE,01/12/2010,64000,2004,2127,CFM,CFM56-5B6/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMM,AIRBUS INDUSTRIE,A319-111,LAND AEROPLANE,29/06/2011,64000,2011,4759,CFM,CFM56-5B5/3,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMN,AIRBUS INDUSTRIE,A319-111,LAND AEROPLANE,05/08/2011,64000,2011,4764,CFM,CFM56-5B5/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMO,AIRBUS INDUSTRIE,A319-112,LAND AEROPLANE,26/11/2010,64000,2002,1770,CFM,CFM56-5B6/3CFM56-5B6/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMS,AIRBUS INDUSTRIE,A319-111,LAND AEROPLANE,17/11/2011,64000,2011,4910,CFM,CFM56-5B5/3CFM56-5B5/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMT,AIRBUS INDUSTRIE,A319-111,LAND AEROPLANE,14/06/2012,64000,2012,5018,CFM,CFM56-5B5/3,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMV,AIRBUS INDUSTRIE,A319-111,LAND AEROPLANE,15/01/2013,64000,2012,5294,CFM,CFM56-5B5/3CFM56-5B5/P,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMW,AIRBUS INDUSTRIE,A319-111,LAND AEROPLANE,04/12/2012,64000,2012,5383,CFM,CFM56-5B5/3,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-IMX,AIRBUS INDUSTRIE,A319-111,LAND AEROPLANE,17/01/2013,64000,2012,5424,CFM,CFM56-5B5/3,2,FTAI ITALIA DESIGNATED ACTIVITY COMPANY,"1ST FLOOR, CAPE HOUSE, WESTEND OFFICE PARK, SNUGBOROUGH ROAD, BLANCHARDSTOWN, DUBLIN 15,"
EI-INA,AIRBUS INDUSTRIE,A320-272N,LAND AEROPLANE,03/03/2023,73500,2022,11201,INTERNATIONAL AERO ENGINE,PW1124G1-JM,2,AVOLON LEASING IRELAND 5 LIMITED,"AVOLON, NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, BALLSBRIDGE, DUBLIN 4,"
EI-INB,AIRBUS INDUSTRIE,A320-272N,LAND AEROPLANE,16/02/2023,73500,2022,11261,INTERNATIONAL AERO ENGINE,PW1124G1-JM,2,AVOLON LEASING IRELAND 5 LIMITED,"AVOLON, NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, BALLSBRIDGE, DUBLIN 4,"
EI-INC,AIRBUS INDUSTRIE,A320-272N,LAND AEROPLANE,24/02/2023,73500,2022,11288,INTERNATIONAL AERO ENGINE,PW1124G1-JM,2,AVOLON LEASING IRELAND 3 LIMITED,"NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, DUBLIN 4,"
EI-IND,AIRBUS INDUSTRIE,A320-272N,LAND AEROPLANE,09/06/2023,73500,2023,11461,INTERNATIONAL AERO ENGINE,PW1124G1-JM,2,AVOLON LEASING IRELAND 3 LIMITED,"NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, DUBLIN 4,"
EI-INE,AIRBUS INDUSTRIE,A320-272N,LAND AEROPLANE,03/07/2023,73500,2023,11502,INTERNATIONAL AERO ENGINE,PW1124G1-JM,2,AVOLON LEASING IRELAND 3 LIMITED,"NUMBER ONE BALLSBRIDGE, BUILDING 1, SHELBOURNE ROAD, DUBLIN 4,"
EI-ION,LEONARDO S.p.A. HELICOPTERS,AW139,ROTORCRAFT,19/04/2023,7000,2023,31993,PRATT & WHITNEY CANADA,PT6C-67C,2,KRYPTON AVIATION LIMITED,"4th FLOOR, MINERVA HOUSE, SIMMONSCOURT ROAD, DUBLIN 4,"
EI-IRD,LEONARDO S.p.A. HELICOPTERS,AW189,ROTORCRAFT,15/11/2024,8600,2024,89025,GENERAL ELECTRIC COMPANY,CT7-2E1,2,BRISTOW IRELAND LIMITED,"8th FLOOR BLOCK E, IVEAGH COURT, HARCOURT ROAD, DUBLIN 2,"
EI-IRF,TEXTRON AVIATION INC.,B200,LAND AEROPLANE,26/11/2024,6087,2003,BB-1829,PRATT & WHITNEY CANADA,PT6A-42,2,TOEXCEL IRELAND LIMITED,"THE BLACK CHURCH, ST. MARY'S PLACE, DUBLIN 7,"
EI-IRR,LEONARDO S.p.A. HELICOPTERS,AW189,ROTORCRAFT,25/07/2024,8600,2024,89024,GENERAL ELECTRIC COMPANY,CT7-2E1,2,BRISTOW IRELAND LIMITED,"8th FLOOR BLOCK E, IVEAGH COURT, HARCOURT ROAD, DUBLIN 2,"
EI-ISA,THE BOEING COMPANY,BOEING 777-243,LAND AEROPLANE,10/01/2013,296195,2002,32855,GENERAL ELECTRIC COMPANY,GE90-94BG12,2,AIRCRAFT PURCHASE COMPANY NO. 12 LIMITED,"GROUND FLOOR 1, 12 MERRION SQUARE NORTH, DUBLIN,"
EI-ISB,THE BOEING COMPANY,BOEING 777-243,LAND AEROPLANE,23/03/2012,296195,2003,32859,GENERAL ELECTRIC COMPANY,GE90-94B,2,AIRCRAFT PURCHASE COMPANY NO. 12 LIMITED,"GROUND FLOOR 1, 12 MERRION SQUARE NORTH, DUBLIN,"
EI-ISD,THE BOEING COMPANY,BOEING 777-243,LAND AEROPLANE,14/07/2011,296199,2003,32860,GENERAL ELECTRIC COMPANY,GE90-94B,2,AIRCRAFT PURCHASE COMPANY NO. 12 LIMITED,"GROUND FLOOR 1, 12 MERRION SQUARE NORTH, DUBLIN,"
EI-ISE,THE BOEING COMPANY,BOEING 777-243,LAND AEROPLANE,19/12/2012,296195,2002,32856,GENERAL ELECTRIC COMPANY,GE90-94BG12,2,AIRCRAFT PURCHASE COMPANY NO. 12 LIMITED,"GROUND FLOOR 1, 12 MERRION SQUARE NORTH, DUBLIN,"
EI-ISO,THE BOEING COMPANY,BOEING 777-243,LAND AEROPLANE,28/12/2012,296195,2002,32857,GENERAL ELECTRIC COMPANY,GE90-94BG12,2,AIRCRAFT PURCHASE COMPANY NO. 12 LIMITED,"GROUND FLOOR 1, 12 MERRION SQUARE NORTH, DUBLIN,"
EI-IXH,AIRBUS INDUSTRIE,A321-112,LAND AEROPLANE,09/02/2010,85000,1999,940,CFM,CFM56-5B2,2,AIRCRAFT PURCHASE COMPANY NO. 11 LIMITED,"GROUND FLOOR 1, 12 MERRION SQUARE NORTH, DUBLIN, D02 H798,"
EI-IXJ,AIRBUS INDUSTRIE,A321-112,LAND AEROPLANE,08/02/2010,85000,1999,959,CFM,CFM56-5B2/P,2,AIRCRAFT PURCHASE COMPANY NO. 11 LIMITED,"GROUND FLOOR 1, 12 MERRION SQUARE NORTH, DUBLIN, D02 H798,"
EI-IXV,AIRBUS INDUSTRIE,A321-112,LAND AEROPLANE,11/02/2010,85000,1998,819,CFM,CFM56-5B2/P,2,AIRCRAFT PURCHASE COMPANY NO. 11 LIMITED,"GROUND FLOOR 1, 12 MERRION SQUARE NORTH, DUBLIN, D02 H798,"
EI-IXZ,AIRBUS INDUSTRIE,A321-112,LAND AEROPLANE,10/02/2010,85000,1998,848,CFM,CFM56-5B2/P,2,AIRCRAFT PURCHASE COMPANY NO. 11 LIMITED,"GROUND FLOOR 1, 12 MERRION SQUARE NORTH, DUBLIN, D02 H798,"
EI-JAM,CESSNA AIRCRAFT COMPANY,CESSNA 172RG,LAND AEROPLANE,22/12/2020,1202,1980,172RG-0010,LYCOMING,O-360-F1A6,1,MANNION AUTOMATION LIMITED,"THE COTTAGE, DOUGHISKA, GALWAY, CO. GALWAY,"
EI-JIA,TEXTRON AVIATION INC.,200,LAND AEROPLANE,16/10/2020,5670,1979,BB-451,PRATT & WHITNEY CANADA,PT6A-42,2,JOBEC AVIATION LIMITED,"5 EDEN GATE CENTRE, DELGANY, CO. WICKLOW,"
EI-JIM,URBAN AIR S.R.O.,SAMBA XLA,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,21/12/2006,540,2006,43,JABIRU,3300A,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-JPK,COSTRUZIONI AERONAUTICHE TECNAM SRL,TECNAM P2002-JF,LAND AEROPLANE,08/04/2008,580,2008,79,ROTAX,912-S2,1,LIMERICK FLYING CLUB (COONAGH) COMPANY LIMITED BY GUARANTEE,"COONAGH AIRFIELD, LIMERICK,"
EI-JRD,THE BOEING COMPANY,BOEING 737-4YO,LAND AEROPLANE,22/07/2021,68038,1991,24917,CFM,CFM56-3C1,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-JSV,DAHER AEROSPACE,TB 20,LAND AEROPLANE,11/07/2023,1400,2002,2169,LYCOMING,IO-540-C4 D5D,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-KBA,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,11/11/2021,77000,2012,5401,INTERNATIONAL AERO ENGINE,V2527-A5,2,SARYARKA AVIATION LIMITED,"FOURTH FLOOR, 3 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-KBB,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,14/04/2022,77000,2013,5613,INTERNATIONAL AERO ENGINE,V2527-A5,2,SARYARKA AVIATION LIMITED,"FOURTH FLOOR, 3 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-KBC,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,30/08/2022,77000,2013,5734,INTERNATIONAL AERO ENGINE,V2527-A5,2,SARYARKA AVIATION LIMITED,"FOURTH FLOOR, 3 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-KBD,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,10/09/2021,77000,2013,5870,INTERNATIONAL AERO ENGINE,V2527-A5,2,SARYARKA AVIATION LIMITED,"FOURTH FLOOR, 3 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-KBE,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,19/10/2021,77000,2014,5968,INTERNATIONAL AERO ENGINE,V2527-A5,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-KBF,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,22/02/2022,77000,2014,6037,INTERNATIONAL AERO ENGINE,V2527-A5,2,BOC AVIATION (IRELAND) LIMITED,"RIVERSIDE ONE, SIR JOHN ROGERSON'S QUAY, DUBLIN 2,"
EI-KBG,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,16/03/2022,77000,2014,6029,INTERNATIONAL AERO ENGINE,V2527-A5,2,SAF LEASING II (AOE 1) LIMITED,"ROCKTWIST HOUSE, BLOCK 1, WESTERN BUSINESS PARK, SHANNON, CO. CLARE,"
EI-KBH,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,08/09/2021,77000,2016,7124,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,EOS AVIATION 16 (IRELAND) LIMITED,"2nd FLOOR, BLOCK 5, IRISH LIFE CENTRE, ABBEY STREET LOWER, DUBLIN 1,"
EI-KBI,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,13/04/2022,77000,2019,8483,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,CESIUM FUNDING LIMITED,"4450 ATLANTIC AVENUE, WESTPARK , SHANNON, CO. CLARE,"
EI-KBJ,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,12/04/2022,77000,2019,8860,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,HIGH RIDGE AVIATION TRADING 4 LIMITED,"SUITE 4, RINEANNA HOUSE,, SHANNON FREE ZONE, SHANNON, CO. CLARE,"
EI-KBK,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,11/11/2021,77000,2020,9459,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-KBL,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,09/11/2021,77000,2020,9574,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-KBM,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,21/10/2021,77000,2020,10005,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-KBN,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,11/11/2021,73500,2014,6343,INTERNATIONAL AERO ENGINE,V2527-A5,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-KBO,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,19/05/2022,73500,2014,6311,INTERNATIONAL AERO ENGINE,V2527-A5,2,SHENTON AIRCRAFT LEASING 3 (IRELAND)  LIMITED,"UNIT J, BLOCK 1, SHANNON BUSINESS PARK, SHANNON, CO. CLARE,"
EI-KBP,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,28/09/2022,77000,2022,11120,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,ACG AIRCRAFT LEASING IRELAND LIMITED,"LUMEN BUILDING, 23/25, BAGGOT STREET UPPER, DUBLIN 4,"
EI-KBR,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,21/12/2022,77000,2022,11211,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,GY AVIATION LEASE 1853 CO. LIMITED,"1 GQ, GEORGE'S QUAY, DUBLIN 2,"
EI-KBS,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,29/11/2022,77000,2022,11199,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,ACG AIRCRAFT LEASING IRELAND LIMITED,"LUMEN BUILDING, 23/25, BAGGOT STREET UPPER, DUBLIN 4,"
EI-KBT,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,20/03/2023,77000,2023,11368,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,GY AVIATION LEASE 1853 CO. LIMITED,"1 GQ, GEORGE'S QUAY, DUBLIN 2,"
EI-KBU,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,10/07/2023,77000,2023,11540,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,GY AVIATION LEASE 1853 CO. LIMITED,"1 GQ, GEORGE'S QUAY, DUBLIN 2,"
EI-KBV,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,25/09/2023,77000,2023,11623,INTERNATIONAL AERO ENGINE,PW1127GA-JM,2,GY AVIATION LEASE 1853 CO. LIMITED,"1 GQ, GEORGE'S QUAY, DUBLIN 2,"
EI-KBW,AIRBUS INDUSTRIE,A320-271N,LAND AEROPLANE,02/11/2023,77000,2023,11743,INTERNATIONAL AERO ENGINE,PW1127G-JM,2,ACG AIRCRAFT LEASING IRELAND LIMITED,"LUMEN BUILDING, 23/25, BAGGOT STREET UPPER, DUBLIN 4,"
EI-KBX,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,19/06/2023,78000,2015,6583,INTERNATIONAL AERO ENGINE,V2527-A5,2,AWAS 39424 IRELAND LIMITED,"70 SIR JOHN ROGERSON'S QUAY, DUBLIN 2,"
EI-KBY,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,08/08/2023,77000,2015,6559,INTERNATIONAL AERO ENGINE,V2527-A5,2,WILMINGTON TRUST SP SERVICES (DUBLIN) LIMITED,"FOURTH  FLOOR, 3 GEORGE'S DOCK, I.F.S.C., DUBLIN 1,"
EI-KBZ,AIRBUS INDUSTRIE,A320-232,LAND AEROPLANE,25/06/2024,77000,2013,05725,INTERNATIONAL AERO ENGINE,V2527-A5,2,ORIENTAL LEASING 5 COMPANY LIMITED,"105-108 LOWER BAGGOT STREET, DUBLIN 2,"
EI-KDA,AIRBUS INDUSTRIE,A321-231,LAND AEROPLANE,18/10/2021,89000,2012,5357,INTERNATIONAL AERO ENGINE,V2533-A5,2,DAE (SABS) 5357 IRELAND DESIGNATED ACTIVITY COMPANY,"32 MOLESWORTH STREET, DUBLIN 2,"
EI-KDB,AIRBUS INDUSTRIE,A321-231,LAND AEROPLANE,10/09/2021,89000,2012,5404,INTERNATIONAL AERO ENGINE,V2533-A5,2,SARYARKA AVIATION LIMITED,"FOURTH FLOOR, 3 GEORGE'S DOCK, IFSC, DUBLIN 1,"
EI-KDC,AIRBUS INDUSTRIE,A321-271N,LAND AEROPLANE,29/11/2021,89000,2017,7567,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,CESIUM FUNDING LIMITED,"4450 ATLANTIC AVENUE, WESTPARK , SHANNON, CO. CLARE,"
EI-KDD,AIRBUS INDUSTRIE,A321-271N,LAND AEROPLANE,18/05/2022,89000,2018,7634,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,CESIUM FUNDING LIMITED,"4450 ATLANTIC AVENUE, WESTPARK , SHANNON, CO. CLARE,"
EI-KDE,AIRBUS INDUSTRIE,A321-271N,LAND AEROPLANE,30/11/2021,89000,2018,8090,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,HIGH RIDGE AVIATION TRADING 4 LIMITED,"SUITE 4, RINEANNA HOUSE,, SHANNON FREE ZONE, SHANNON, CO. CLARE,"
EI-KDF,AIRBUS INDUSTRIE,A321-271N,LAND AEROPLANE,30/08/2022,89000,2019,8277,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,TANTALUM FUNDING LIMITED,"AVIATION HOUSE, SHANNON, CO. CLARE,"
EI-KDG,AIRBUS INDUSTRIE,A321-271NX,LAND AEROPLANE,18/01/2024,89000,2023,11665,INTERNATIONAL AERO ENGINE,PW1133GA-JM,2,ALC CLOVER IRELAND LIMITED,"22 EARLSFORT TERRACE, DUBLIN 2,"
